ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10160687,HY313819,06/24/2015 06:00:00 AM,052XX N MARMORA AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE,true,false,1622,016,45,11,18,1135867,1934466,2015,05/12/2016 03:48:29 PM,41.976351974,-87.775741229,"(41.976351974, -87.775741229)"
10203133,HY381916,08/14/2015 10:55:00 AM,054XX W WALTON ST,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,VEHICLE NON-COMMERCIAL,true,false,1524,015,37,25,18,1139924,1905802,2015,05/12/2016 03:48:29 PM,41.897621617,-87.761524853,"(41.897621617, -87.761524853)"
10211492,HY257237,05/12/2015 11:54:19 AM,066XX S WASHTENAW AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE,true,false,0831,008,15,66,18,1159517,1860604,2015,05/12/2016 03:48:29 PM,41.773212262,-87.690803401,"(41.773212262, -87.690803401)"
10211589,HY340025,07/14/2015 06:00:00 AM,033XX W FILLMORE ST,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,POLICE FACILITY/VEH PARKING LOT,true,false,1134,011,24,29,18,1154228,1895173,2015,05/12/2016 03:48:29 PM,41.868180939,-87.709271389,"(41.868180939, -87.709271389)"
10211611,HY333584,07/09/2015 06:00:00 AM,033XX W FILLMORE ST,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,POLICE FACILITY/VEH PARKING LOT,true,false,1134,011,24,29,18,1154228,1895173,2015,05/12/2016 03:48:29 PM,41.868180939,-87.709271389,"(41.868180939, -87.709271389)"
10211617,HY333517,07/09/2015 06:00:00 AM,033XX W FILLMORE ST,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,POLICE FACILITY/VEH PARKING LOT,true,false,1134,011,24,29,18,1154228,1895173,2015,05/12/2016 03:48:29 PM,41.868180939,-87.709271389,"(41.868180939, -87.709271389)"
10211623,HY331028,07/07/2015 06:00:00 AM,033XX W FILLMORE ST,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,POLICE FACILITY/VEH PARKING LOT,true,false,1134,011,24,29,18,1154228,1895173,2015,05/12/2016 03:48:29 PM,41.868180939,-87.709271389,"(41.868180939, -87.709271389)"
10213138,HY371827,08/06/2015 04:58:08 PM,013XX S HOMAN AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,APARTMENT,true,false,1021,010,24,29,18,1153916,1893520,2015,05/12/2016 03:48:29 PM,41.863651143,-87.71046084,"(41.863651143, -87.71046084)"
10213157,HY371446,08/06/2015 12:18:43 PM,014XX W 66TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,APARTMENT,true,false,0725,007,17,67,18,1167978,1860982,2015,05/12/2016 03:48:29 PM,41.774071891,-87.659776488,"(41.774071891, -87.659776488)"
10213250,HY371306,08/06/2015 11:42:00 AM,050XX W DIVISION ST,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,SIDEWALK,true,false,2533,025,37,25,18,1142681,1907524,2015,05/12/2016 03:48:29 PM,41.902296112,-87.75135567,"(41.902296112, -87.75135567)"
