ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9824672,HX244270,05/01/2014 01:11:00 PM,033XX W FLOURNOY ST,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,SIDEWALK,true,false,1134,011,24,27,18,,,2014,05/21/2016 03:51:41 PM,,,
9833854,HX429137,09/15/2014 12:09:00 PM,016XX S KOMENSKY AVE,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,VEHICLE NON-COMMERCIAL,true,false,1012,010,24,29,18,,,2014,05/21/2016 03:51:41 PM,,,
9584194,HX207056,04/01/2014 03:24:57 PM,038XX W LELAND AVE,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,APARTMENT,true,false,1723,017,39,14,18,,,2014,02/04/2016 06:33:39 AM,,,
9597909,HX233639,04/22/2014 09:36:00 PM,002XX E MARQUETTE RD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0322,003,20,69,18,,,2014,08/17/2015 03:03:40 PM,,,
9639885,HX281800,05/29/2014 09:15:00 PM,0000X S LEAMINGTON AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,true,false,1533,015,28,25,18,,,2014,08/17/2015 03:03:40 PM,,,
9669815,HX238667,04/26/2014 07:43:00 PM,007XX W 69TH ST,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,RESTAURANT,true,false,0732,007,6,68,18,,,2014,01/10/2016 08:18:39 AM,,,
9674574,HX294306,06/07/2014 07:20:00 PM,016XX E 79TH ST,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,PARKING LOT/GARAGE(NON.RESID.),true,false,0414,004,8,43,18,,,2014,01/10/2016 08:18:39 AM,,,
9674952,HX245461,05/02/2014 11:45:00 AM,023XX E 75TH ST,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,SIDEWALK,true,false,0334,003,7,43,18,,,2014,01/10/2016 08:46:55 AM,,,
9733556,HX383748,08/11/2014 08:26:00 PM,024XX E 71ST ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,true,false,0334,003,5,43,18,,,2014,08/17/2015 03:03:40 PM,,,
9746398,HX332393,07/05/2014 02:49:00 PM,046XX S CHAMPLAIN AVE,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,VEHICLE NON-COMMERCIAL,true,false,0221,002,4,38,18,,,2014,02/04/2016 06:33:39 AM,,,
9760239,HX410508,08/31/2014 10:14:00 PM,076XX W KENNEDY EXPY IB,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,HIGHWAY/EXPRESSWAY,true,false,1612,016,41,10,18,,,2014,08/17/2015 03:03:40 PM,,,
9761323,HX378981,08/07/2014 06:00:00 AM,045XX W JACKSON BLVD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE,true,false,1113,011,28,26,18,,,2014,08/17/2015 03:03:40 PM,,,
