ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10804269,JA103536,01/04/2017 12:52:00 AM,073XX W TOUHY AVE,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,STREET,true,false,1611,016,41,9,18,1126636,1947269,2017,02/14/2017 03:49:42 PM,42.0116445,-87.809400005,"(42.0116445, -87.809400005)"
10806417,JA105470,01/05/2017 05:53:00 PM,039XX W JACKSON BLVD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,1122,011,28,26,18,1150108,1898395,2017,02/14/2017 03:49:42 PM,41.877103668,-87.72431291,"(41.877103668, -87.72431291)"
10828489,JA129941,01/25/2017 07:50:00 PM,034XX W WARREN DR,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,PARK PROPERTY,true,false,1123,011,28,27,18,1153578,1900135,2017,02/14/2017 03:49:42 PM,41.881810136,-87.711525711,"(41.881810136, -87.711525711)"
10829555,JA130824,01/26/2017 02:25:00 PM,076XX S LOOMIS BLVD,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,STREET,true,false,0612,006,17,71,18,1168324,1854022,2017,02/14/2017 03:49:42 PM,41.754965299,-87.658708223,"(41.754965299, -87.658708223)"
10829973,JA131472,01/27/2017 12:51:00 AM,071XX S WABASH AVE,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,STREET,true,false,0323,003,6,69,18,1177958,1857782,2017,02/14/2017 03:49:42 PM,41.765070431,-87.623288746,"(41.765070431, -87.623288746)"
10833977,JA136059,01/30/2017 11:10:00 PM,018XX S PULASKI RD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,1012,010,24,29,18,1150007,1890745,2017,02/14/2017 03:49:42 PM,41.856113138,-87.72488284,"(41.856113138, -87.72488284)"
10838776,JA141401,02/04/2017 11:55:00 AM,056XX S ELIZABETH ST,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,VACANT LOT/LAND,true,false,0713,007,16,67,18,1168953,1867314,2017,02/14/2017 03:49:42 PM,41.791426651,-87.656019484,"(41.791426651, -87.656019484)"
10801415,JA100277,01/01/2017 03:19:00 AM,055XX W WASHINGTON BLVD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,1522,015,29,25,18,1139167,1900196,2017,02/14/2017 03:49:42 PM,41.88225186,-87.76444178,"(41.88225186, -87.76444178)"
10802177,JA101223,01/02/2017 05:30:00 AM,053XX W SCHOOL ST,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,STREET,true,false,1634,016,38,15,18,1140087,1921420,2017,02/14/2017 03:49:42 PM,41.940476141,-87.760543026,"(41.940476141, -87.760543026)"
10802252,JA101363,01/02/2017 09:26:00 AM,077XX N PAULINA ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,2422,024,49,1,18,1163657,1951198,2017,02/14/2017 03:49:42 PM,42.021723171,-87.673071312,"(42.021723171, -87.673071312)"
